X,Y,OBJECTID,STUNITID1,STUNITID2,STUNITID3,SIGNAL_ID,COMPTYPE,INT_COMPKEY,INT_UNITID,UNITID,COMPKEY,INTKEY,SERVSTAT,UNITDESC,UNITTYPE,SIGNAL_PLAN,NCDOT_ID,BIKE_LOS,PED_LOS,INSTALLATION_DATE,PED_BUTTONS,APS_TYPE,UNITTYPEDESC
-80.8918513092025,35.1355466663838,61854,3358,7528,11351,688,74,141999,21514,00688,162607,141999,OP,E ARROWOOD RD_NATIONS FORD RD_W ARROWOOD RD,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00688.pdf,,D+,C-,1988/02/26 00:00:00+00,Y,,TRAFFIC SIGNAL WITH LOOPS (OPTICOM)
-80.8752837415362,35.2380528954356,61855,1638,11055, ,867,74,131443,10958,00867,162693,131443,OP,CAMP GREENE ST_TUCKASEEGEE RD,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00867.pdf,,E+,B,1989/03/21 00:00:00+00,Y,,TRAFFIC SIGNAL WITH LOOPS
-80.8224757476939,35.1682115777749,61856,9333,9783, ,522,74,155547,42683,00522,162967,155547,OP,RUNNYMEDE LN_SHARON RD,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00522.pdf,,D+,C,1969/08/05 00:00:00+00,Y,,TRAFFIC SIGNAL WITH LOOPS
-80.9881738893379,35.1081732725745,61857,,,,80068,74,,,80068,183120,,OP,SOUTHWEST MIDDLE SCHOOL,SF,,,,,2009/08/21 00:00:00+00,N,,SCHOOL FLASHER (SPEED REDUCT)
-80.825448646782,35.1468501405425,61858,1633,3774, ,1544,74,141056,20571,01544,163036,141056,OP,CAMERON VALLEY PY_FAIRVIEW RD,TSV,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\01544.pdf,,D,D,1996/11/14 00:00:00+00,Y,,TRAFFIC SIGNAL W/ VIDEO DETECT
-80.8848590535894,35.1125831585967,61859,2165,2776,3402,697,74,144202,23717,00697,169464,144202,OP,CHINA GROVE CHURCH RD_CRUMP RD_E WESTINGHOUSE BV,TSV,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00697.pdf,,D-,D-,2006/12/04 00:00:00+00,N,,TRAFFIC SIGNAL W/ VIDEO DETECT
-80.7745476406278,35.0877515101493,61860,4596,5078,8662,1560,74,146314,25829,01560,162984,146314,OP,GREYSON RIDGE DR_HIGH RIDGE RD_PROVIDENCE RD,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\01560.pdf,,E-,C-,2000/11/22 00:00:00+00,Y,,TRAFFIC SIGNAL WITH LOOPS (OPTICOM)
-80.8026378571186,35.2363867836165,61861,1389,2277,10766,234,74,131745,11260,00234,161851,131745,OP,BROOK RD_CLEMSON AV_THE PLAZA,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00234.pdf,,D-,B,1984/09/18 00:00:00+00,Y,,TRAFFIC SIGNAL WITH LOOPS
-80.7291065104613,35.289954828668,61862,3401,7843,,284,74,127300,6815,00284,169005,127300,OP,E W T HARRIS RA_OLD CONCORD RD,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00284.pdf,10-0860,,,2010/09/28 00:00:00+00,N,,TRAFFIC SIGNAL WITH LOOPS
-80.8415663176606,35.0248297016259,61863,,,,80056,74,,,80056,182665,,OP,ELON PARK ELEMENTARY SCHOOL,SF,,,,,2009/04/09 00:00:00+00,N,,SCHOOL FLASHER (SPEED REDUCT)
